provider_admin1_name,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end,text
Jammu & Kashmir,0.1933,41.7069,46.3355,20.586,15.4783,2005-01-01,2006-12-31,"In Jammu & Kashmir, 41.71% of population lives in poverty with an MPI score of 0.1933"
Jammu & Kashmir,0.0635,15.2273,41.7246,17.4129,3.3359,2015-01-01,2016-12-31,"In Jammu & Kashmir, 15.23% of population lives in poverty with an MPI score of 0.0635"
Jammu & Kashmir,0.0249,6.2595,39.7527,11.1951,1.0051,2019-01-01,2021-12-31,"In Jammu & Kashmir, 6.26% of population lives in poverty with an MPI score of 0.0249"
Jharkhand,0.4291,74.8587,57.3195,10.8042,50.1225,2005-01-01,2006-12-31,"In Jharkhand, 74.86% of population lives in poverty with an MPI score of 0.4291"
Jharkhand,0.208,46.5002,44.7287,20.4294,15.4296,2015-01-01,2016-12-31,"In Jharkhand, 46.5% of population lives in poverty with an MPI score of 0.208"
Jharkhand,0.1318,30.603,43.0699,22.5427,9.1473,2019-01-01,2021-12-31,"In Jharkhand, 30.6% of population lives in poverty with an MPI score of 0.1318"
Karnataka,0.2278,48.6952,46.7901,19.9324,18.905,2005-01-01,2006-12-31,"In Karnataka, 48.7% of population lives in poverty with an MPI score of 0.2278"
Karnataka,0.0669,16.8236,39.7623,18.2573,3.1592,2015-01-01,2016-12-31,"In Karnataka, 16.82% of population lives in poverty with an MPI score of 0.0669"
Karnataka,0.0333,8.4979,39.2263,17.9722,1.2819,2019-01-01,2021-12-31,"In Karnataka, 8.5% of population lives in poverty with an MPI score of 0.0333"
Kerala,0.0528,13.3014,39.7314,24.1508,2.0231,2005-01-01,2006-12-31,"In Kerala, 13.3% of population lives in poverty with an MPI score of 0.0528"
Kerala,0.004,1.0744,37.2712,10.0219,0.0697,2015-01-01,2016-12-31,"In Kerala, 1.07% of population lives in poverty with an MPI score of 0.004"
Kerala,0.0031,0.8575,35.7243,8.6407,0.0303,2019-01-01,2021-12-31,"In Kerala, 0.86% of population lives in poverty with an MPI score of 0.0031"
Ladakh,0.0244,6.5118,37.4463,13.4617,0.8008,2019-01-01,2021-12-31,"In Ladakh, 6.51% of population lives in poverty with an MPI score of 0.0244"
Lakshadweep,0.0033,0.8826,36.9724,14.3035,0.0,2019-01-01,2021-12-31,"In Lakshadweep, 0.88% of population lives in poverty with an MPI score of 0.0033"
Madhya Pradesh,0.3655,68.653,53.2444,14.4577,38.8236,2005-01-01,2006-12-31,"In Madhya Pradesh, 68.65% of population lives in poverty with an MPI score of 0.3655"
Madhya Pradesh,0.1813,40.976,44.256,20.4132,13.0344,2015-01-01,2016-12-31,"In Madhya Pradesh, 40.98% of population lives in poverty with an MPI score of 0.1813"
Madhya Pradesh,0.0994,23.9625,41.4887,22.1937,5.4665,2019-01-01,2021-12-31,"In Madhya Pradesh, 23.96% of population lives in poverty with an MPI score of 0.0994"
Maharashtra,0.1861,40.1275,46.3891,21.0493,13.7837,2005-01-01,2006-12-31,"In Maharashtra, 40.13% of population lives in poverty with an MPI score of 0.1861"
Maharashtra,0.0707,17.113,41.2966,20.3564,3.4594,2015-01-01,2016-12-31,"In Maharashtra, 17.11% of population lives in poverty with an MPI score of 0.0707"
Maharashtra,0.0357,8.9881,39.7104,16.9318,1.3985,2019-01-01,2021-12-31,"In Maharashtra, 8.99% of population lives in poverty with an MPI score of 0.0357"
Manipur,0.2023,43.8821,46.0944,25.0252,15.6833,2005-01-01,2006-12-31,"In Manipur, 43.88% of population lives in poverty with an MPI score of 0.2023"
Manipur,0.0779,19.2089,40.5517,22.2305,3.3373,2015-01-01,2016-12-31,"In Manipur, 19.21% of population lives in poverty with an MPI score of 0.0779"
Manipur,0.0383,9.6714,39.6491,17.4012,1.3776,2019-01-01,2021-12-31,"In Manipur, 9.67% of population lives in poverty with an MPI score of 0.0383"
Meghalaya,0.34,61.4013,55.3671,13.4371,39.9671,2005-01-01,2006-12-31,"In Meghalaya, 61.4% of population lives in poverty with an MPI score of 0.34"
Meghalaya,0.1451,32.608,44.5076,23.449,11.1995,2015-01-01,2016-12-31,"In Meghalaya, 32.61% of population lives in poverty with an MPI score of 0.1451"
Meghalaya,0.123,27.0191,45.5298,20.0199,10.3066,2019-01-01,2021-12-31,"In Meghalaya, 27.02% of population lives in poverty with an MPI score of 0.123"
Mizoram,0.138,30.5544,45.1668,19.6227,11.3511,2005-01-01,2006-12-31,"In Mizoram, 30.55% of population lives in poverty with an MPI score of 0.138"
Mizoram,0.044,9.7323,45.2273,12.367,3.4015,2015-01-01,2016-12-31,"In Mizoram, 9.73% of population lives in poverty with an MPI score of 0.044"
Mizoram,0.0246,5.7504,42.7607,9.1095,1.7597,2019-01-01,2021-12-31,"In Mizoram, 5.75% of population lives in poverty with an MPI score of 0.0246"
Nagaland,0.2944,57.003,51.6416,18.1679,30.4097,2005-01-01,2006-12-31,"In Nagaland, 57.0% of population lives in poverty with an MPI score of 0.2944"
Nagaland,0.098,23.4818,41.735,17.5262,6.2457,2015-01-01,2016-12-31,"In Nagaland, 23.48% of population lives in poverty with an MPI score of 0.098"
Nagaland,0.066,17.0562,38.706,15.4829,2.8929,2019-01-01,2021-12-31,"In Nagaland, 17.06% of population lives in poverty with an MPI score of 0.066"
Odisha,0.3359,64.1871,52.3309,15.7417,34.1646,2005-01-01,2006-12-31,"In Odisha, 64.19% of population lives in poverty with an MPI score of 0.3359"
Odisha,0.1554,35.838,43.3564,19.0567,10.6222,2015-01-01,2016-12-31,"In Odisha, 35.84% of population lives in poverty with an MPI score of 0.1554"
Odisha,0.0863,20.8,41.5128,19.4307,5.1679,2019-01-01,2021-12-31,"In Odisha, 20.8% of population lives in poverty with an MPI score of 0.0863"
Puducherry,0.0052,1.4224,36.6496,6.7816,0.0423,2019-01-01,2021-12-31,"In Puducherry, 1.42% of population lives in poverty with an MPI score of 0.0052"
Punjab,0.1083,24.0456,45.0275,19.408,8.9322,2005-01-01,2006-12-31,"In Punjab, 24.05% of population lives in poverty with an MPI score of 0.1083"
Punjab,0.0249,6.039,41.2986,13.0096,1.4172,2015-01-01,2016-12-31,"In Punjab, 6.04% of population lives in poverty with an MPI score of 0.0249"
Punjab,0.0188,4.7077,39.9954,12.2023,0.7273,2019-01-01,2021-12-31,"In Punjab, 4.71% of population lives in poverty with an MPI score of 0.0188"
Rajasthan,0.3312,62.029,53.3983,16.1109,35.2103,2005-01-01,2006-12-31,"In Rajasthan, 62.03% of population lives in poverty with an MPI score of 0.3312"
Rajasthan,0.1405,31.0514,45.2544,22.2016,10.9355,2015-01-01,2016-12-31,"In Rajasthan, 31.05% of population lives in poverty with an MPI score of 0.1405"
Rajasthan,0.0679,16.5691,41.0065,22.7726,3.6461,2019-01-01,2021-12-31,"In Rajasthan, 16.57% of population lives in poverty with an MPI score of 0.0679"
Sikkim,0.1771,37.4824,47.2551,15.8782,15.7152,2005-01-01,2006-12-31,"In Sikkim, 37.48% of population lives in poverty with an MPI score of 0.1771"
Sikkim,0.0184,4.8313,38.1273,12.2008,0.5061,2015-01-01,2016-12-31,"In Sikkim, 4.83% of population lives in poverty with an MPI score of 0.0184"
Sikkim,0.014,3.6746,38.1001,9.6617,0.4811,2019-01-01,2021-12-31,"In Sikkim, 3.67% of population lives in poverty with an MPI score of 0.014"
Tamil Nadu,0.1562,37.2884,41.8971,21.8691,8.5019,2005-01-01,2006-12-31,"In Tamil Nadu, 37.29% of population lives in poverty with an MPI score of 0.1562"
Tamil Nadu,0.0268,7.1361,37.4933,16.462,0.553,2015-01-01,2016-12-31,"In Tamil Nadu, 7.14% of population lives in poverty with an MPI score of 0.0268"
Tamil Nadu,0.0142,3.8376,36.9201,12.6557,0.2207,2019-01-01,2021-12-31,"In Tamil Nadu, 3.84% of population lives in poverty with an MPI score of 0.0142"
Telangana,0.0265,6.778,39.1221,16.9551,0.8137,2019-01-01,2021-12-31,"In Telangana, 6.78% of population lives in poverty with an MPI score of 0.0265"
Tripura,0.2655,54.5726,48.6483,19.0309,23.7059,2005-01-01,2006-12-31,"In Tripura, 54.57% of population lives in poverty with an MPI score of 0.2655"
Tripura,0.0865,20.2643,42.6853,20.4695,5.2868,2015-01-01,2016-12-31,"In Tripura, 20.26% of population lives in poverty with an MPI score of 0.0865"
Tripura,0.0635,15.7,40.429,20.6966,2.8284,2019-01-01,2021-12-31,"In Tripura, 15.7% of population lives in poverty with an MPI score of 0.0635"
Uttar Pradesh,0.3611,68.7876,52.4888,14.5043,36.4787,2005-01-01,2006-12-31,"In Uttar Pradesh, 68.79% of population lives in poverty with an MPI score of 0.3611"
Uttar Pradesh,0.1821,40.6897,44.748,19.4765,14.0344,2015-01-01,2016-12-31,"In Uttar Pradesh, 40.69% of population lives in poverty with an MPI score of 0.1821"
Uttar Pradesh,0.0983,22.9387,42.833,21.4781,6.5851,2019-01-01,2021-12-31,"In Uttar Pradesh, 22.94% of population lives in poverty with an MPI score of 0.0983"
Uttarakhand,0.1818,39.2942,46.279,21.0565,15.0077,2005-01-01,2006-12-31,"In Uttarakhand, 39.29% of population lives in poverty with an MPI score of 0.1818"
Uttarakhand,0.0719,17.2125,41.7477,19.4276,3.9146,2015-01-01,2016-12-31,"In Uttarakhand, 17.21% of population lives in poverty with an MPI score of 0.0719"
Uttarakhand,0.0391,9.811,39.8766,16.1711,1.5089,2019-01-01,2021-12-31,"In Uttarakhand, 9.81% of population lives in poverty with an MPI score of 0.0391"
West Bengal,0.3019,57.9645,52.0805,16.3538,31.0786,2005-01-01,2006-12-31,"In West Bengal, 57.96% of population lives in poverty with an MPI score of 0.3019"
West Bengal,0.1097,26.1638,41.9144,19.8294,7.0784,2015-01-01,2016-12-31,"In West Bengal, 26.16% of population lives in poverty with an MPI score of 0.1097"
West Bengal,0.0607,15.2707,39.7277,20.2134,2.8258,2019-01-01,2021-12-31,"In West Bengal, 15.27% of population lives in poverty with an MPI score of 0.0607"
